tipo_contacto,agente_accion,fecha_accion,NOME,SUPERVISOR,Total
cd,EXT_AGUISOUZ,2026-02-13,,,19
cd,EXT_AGUISOUZ,2026-02-16,,,25
cd,EXT_AGUISOUZ,2026-02-18,,,5
cd,EXT_AGUISOUZ,2026-02-19,,,2
cd,EXT_AGUISOUZ,2026-02-20,,,1
cd,EXT_ALENISAB,2026-02-20,,,30
cd,EXT_ALESR,2026-02-13,,,46
cd,EXT_ALESR,2026-02-16,,,72
cd,EXT_ALESR,2026-02-18,,,39
cd,EXT_ALESR,2026-02-19,,,24
cd,EXT_ALNLARIS,2026-02-13,,,23
cd,EXT_ALNLARIS,2026-02-14,,,29
cd,EXT_ALNLARIS,2026-02-16,,,35
cd,EXT_ALNLARIS,2026-02-18,,,15
cd,EXT_ALNLARIS,2026-02-19,,,13
cd,EXT_ALNLARIS,2026-02-23,,,9
cd,EXT_ALYCARVA,2026-02-19,,,2
cd,EXT_ANACAEIR,2026-02-13,,,64
cd,EXT_ANACAEIR,2026-02-14,,,48
cd,EXT_ANACAEIR,2026-02-18,,,33
cd,EXT_ANACAEIR,2026-02-19,,,20
cd,EXT_ANACAEIR,2026-02-20,,,49
cd,EXT_ANACAEIR,2026-02-21,,,47
cd,EXT_ANACAEIR,2026-02-23,,,19
cd,EXT_ANASANO,2026-02-20,,,52
cd,EXT_ANATOS,2026-02-13,,,4
cd,EXT_ANATOS,2026-02-18,,,3
cd,EXT_ANATOS,2026-02-19,,,2
cd,EXT_ANATOS,2026-02-20,,,2
cd,EXT_ANATOS,2026-02-21,,,2
cd,EXT_ANIVO,2026-02-13,,,14
cd,EXT_ANIVO,2026-02-14,,,21
cd,EXT_ANIVO,2026-02-18,,,1
cd,EXT_ANIVO,2026-02-19,,,3
cd,EXT_ANIVO,2026-02-20,,,2
cd,EXT_ANIVO,2026-02-21,,,2
cd,EXT_ANIVO,2026-02-23,,,1
cd,EXT_ANLISILV,2026-02-13,,,20
cd,EXT_ANLISILV,2026-02-14,,,19
cd,EXT_ANLISILV,2026-02-16,,,18
cd,EXT_ANLISILV,2026-02-18,,,7
cd,EXT_ANLISILV,2026-02-19,,,15
cd,EXT_ANLISILV,2026-02-20,,,24
cd,EXT_ANLISILV,2026-02-21,,,7
cd,EXT_ANLISILV,2026-02-23,,,5
cd,EXT_ANMART,2026-02-13,,,5
cd,EXT_ANMART,2026-02-23,,,3
cd,EXT_ANNICOST,2026-02-13,,,22
cd,EXT_ANNICOST,2026-02-14,,,12
cd,EXT_ANNICOST,2026-02-18,,,21
cd,EXT_ANNICOST,2026-02-19,,,39
cd,EXT_ANNICOST,2026-02-20,,,53
cd,EXT_ANNICOST,2026-02-21,,,39
cd,EXT_ANNICOST,2026-02-23,,,13
cd,EXT_ANTPACHE,2026-02-13,,,201232
cd,EXT_ANTPACHE,2026-02-14,,,144428
cd,EXT_ANTPACHE,2026-02-16,,,435455
cd,EXT_ANTPACHE,2026-02-18,,,85538
cd,EXT_ANTPACHE,2026-02-19,,,76374
cd,EXT_ANVINHAL,2026-02-13,,,1
cd,EXT_ANVINHAL,2026-02-14,,,3
cd,EXT_ANVINHAL,2026-02-18,,,6
cd,EXT_ANVINHAL,2026-02-19,,,11
cd,EXT_ANVINHAL,2026-02-20,,,13
cd,EXT_ANVINHAL,2026-02-21,,,2
cd,EXT_ASILV,2026-02-13,,,32
cd,EXT_ASILV,2026-02-14,,,19
cd,EXT_ASILV,2026-02-18,,,5
cd,EXT_ASILV,2026-02-19,,,5
cd,EXT_ASILV,2026-02-20,,,1
cd,EXT_ASILV,2026-02-21,,,2
cd,EXT_AYXAVIER,2026-02-13,,,52
cd,EXT_AYXAVIER,2026-02-14,,,16
cd,EXT_AYXAVIER,2026-02-18,,,50
cd,EXT_AYXAVIER,2026-02-19,,,36
cd,EXT_AYXAVIER,2026-02-20,,,41
cd,EXT_BARVALER,2026-02-13,,,51
cd,EXT_BARVALER,2026-02-14,,,52
cd,EXT_BARVALER,2026-02-18,,,27
cd,EXT_BARVALER,2026-02-19,,,47
cd,EXT_BARVALER,2026-02-20,,,46
cd,EXT_BARVALER,2026-02-21,,,48
cd,EXT_BARVALER,2026-02-23,,,9
cd,EXT_BEASARA,2026-02-16,,,41
cd,EXT_BEASARA,2026-02-18,,,22
cd,EXT_BEATRAZE,2026-02-13,,,20
cd,EXT_BEATRAZE,2026-02-14,,,13
cd,EXT_BEATRAZE,2026-02-18,,,1
cd,EXT_BEATRAZE,2026-02-20,,,22
cd,EXT_BEATRAZE,2026-02-21,,,3
cd,EXT_BIANM,2026-02-20,,,9
cd,EXT_BRUNASAA,2026-02-20,,,22
cd,EXT_CARDCLAR,2026-02-13,,,51
cd,EXT_CARDCLAR,2026-02-16,,,89
cd,EXT_CARDCLAR,2026-02-18,,,67
cd,EXT_CARDCLAR,2026-02-19,,,53
cd,EXT_CARDCLAR,2026-02-20,,,47
cd,EXT_CARLN,2026-02-13,,,45
cd,EXT_CARLN,2026-02-16,,,80
cd,EXT_CARLN,2026-02-18,,,45
cd,EXT_CARLN,2026-02-19,,,44
cd,EXT_CHRAIOL,2026-02-13,,,9
cd,EXT_CHRAIOL,2026-02-14,,,6
cd,EXT_CHRAIOL,2026-02-18,,,1
cd,EXT_CHRAIOL,2026-02-20,,,4
cd,EXT_CHRAIOL,2026-02-21,,,2
cd,EXT_CHRAIOL,2026-02-23,,,2
cd,EXT_COIZABEL,2026-02-13,,,28
cd,EXT_COIZABEL,2026-02-16,,,12
cd,EXT_COIZABEL,2026-02-18,,,29
cd,EXT_COIZABEL,2026-02-19,,,21
cd,EXT_COIZABEL,2026-02-20,,,31
cd,EXT_CORREHEN,2026-02-13,,,8
cd,EXT_CORREHEN,2026-02-14,,,7
cd,EXT_CORREHEN,2026-02-18,,,20
cd,EXT_CORREHEN,2026-02-19,,,6
cd,EXT_CORREHEN,2026-02-20,,,3
cd,EXT_CORREHEN,2026-02-21,,,7
cd,EXT_CORREHEN,2026-02-23,,,1
cd,EXT_CRISLAIJ,2026-02-13,,,31
cd,EXT_CRISLAIJ,2026-02-18,,,49
